"outlet_mass-flow-rate-rfile"
"Iteration" "outlet_mass-flow-rate"
("Iteration" "outlet_mass-flow-rate")
1 -0.07043022914127228
2 -0.07015892052480135
3 -0.07002066790835107
4 -0.07010153271519171
5 -0.07027985349905522
6 -0.07047974932224922
7 -0.07066123076094306
8 -0.07081058247443124
9 -0.07091156854995351
10 -0.07096903536698579
11 -0.07102226142016291
12 -0.07107265611730974
13 -0.07112411235119212
14 -0.07118175336263255
15 -0.07124391659255361
16 -0.0713081595631704
17 -0.07137237558517781
18 -0.07143465211281871
19 -0.07149474111229816
20 -0.07155249126348448
21 -0.07160067333562151
22 -0.07164568414101827
23 -0.07167545564240196
24 -0.07168018072277763
25 -0.07165325530630461
26 -0.07159870762168838
27 -0.07152681087918986
28 -0.07144887760681758
29 -0.0713754984232703
30 -0.07131264295522459
31 -0.07126134606478605
32 -0.07122171855978768
33 -0.07119325834446848
34 -0.07117544285713105
35 -0.07116694350411115
36 -0.07116620080605916
37 -0.07117118043503876
38 -0.07118033920713084
39 -0.07119322780127799
40 -0.07120816032262828
41 -0.07122377548169002
42 -0.0712407945510275
43 -0.07125866849265224
44 -0.07127562473195991
45 -0.07129056686625042
46 -0.07130303015319911
47 -0.07131214011209516
48 -0.07131788186793075
49 -0.07132023305711678
50 -0.07131993870595579
51 -0.07131798840883422
52 -0.07131527478513369
53 -0.07131302944596478
54 -0.07131218694813643
55 -0.07131300280304437
56 -0.07131530489552999
57 -0.07131878298256329
58 -0.0713230987456499
59 -0.07132782514612933
60 -0.07133252009162588
61 -0.07133679450529873
62 -0.07134019609015121
63 -0.07134229305277651
64 -0.07134295568896712
65 -0.07134233955503466
66 -0.07134069482097422
67 -0.07133826648248959
68 -0.07133534196592944
69 -0.07133224068967298
70 -0.0713294039307463
71 -0.07132715862308955
72 -0.07132566072044284
73 -0.07132500089639145
74 -0.0713251757868831
75 -0.07132610015513452
76 -0.07132769609530468
77 -0.07132982545898961
78 -0.07133233416191864
79 -0.0713349980231721
80 -0.07133757034600006
81 -0.07133984702580443
82 -0.07134158156302775
83 -0.0713426457125461
84 -0.07134290569793199
85 -0.07134228642885043
86 -0.07134069495532284
87 -0.07133814798032417
88 -0.07133480440818282
89 -0.07133070664411297
90 -0.07132607377792372
91 -0.07132091988720683
92 -0.07131543581404814
93 -0.07130983220540354
94 -0.07130428542722593
95 -0.07129891496078877
96 -0.07129386084191529
97 -0.07128933231250249
98 -0.0712854825318447
99 -0.07128241963658764
100 -0.07128012225974441
